"Latest: Time (s)","Latest: Pressure (kPa)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
0,63.3874080206,0,0,0
0.05,62.2827632647,0,0,0
0.1,61.0952701522,0,0,0
0.15,60.0695285932,0,0,0
0.2,59.0437870342,0,0,0
0.25,58.0180454752,0,0,0
0.3,57.0712071131,0,0,0
0.35,56.0415203943,0,0,0
0.4,55.0946820321,0,0,0
0.45,54.2267468668,0,0,0
0.5,53.3588117015,0,0,0
0.55,52.4908765362,0,0,0
0.6,51.6978994079,0,0,0
0.65,50.8299642426,0,0,0
0.7,50.119835471,0,0,0
0.75,49.3308035026,0,0,0
0.8,48.620674731,0,0,0
0.85,47.8316427625,0,0,0
0.9,47.1215139909,0,0,0
0.95,46.3285368626,0,0,0
1,45.6973112879,0,0,0
1.05,45.0660857131,0,0,0
1.1,44.4348601383,0,0,0
1.15,43.8036345636,0,0,0
1.2,43.2513121857,0,0,0
1.25,42.6989898077,0,0,0
1.3,42.067764233,0,0,0
1.35,41.4325934984,0,0,0
1.4,40.8802711205,0,0,0
1.45,40.3279487425,0,0,0
1.5,39.7756263646,0,0,0
1.55,39.2233039867,0,0,0
1.6,38.6709816088,0,0,0
1.65,38.1975624277,0,0,0
1.7,37.7241432467,0,0,0
1.75,37.2507240656,0,0,0
1.8,36.7733597247,0,0,0
1.85,36.3788437404,0,0,0
1.9,35.9054245594,0,0,0
1.95,35.4320053783,0,0,0
2,35.0374893941,0,0,0
2.05,34.6429734098,0,0,0
2.1,34.1695542288,0,0,0
2.15,33.7750382446,0,0,0
2.2,33.3805222603,0,0,0
2.25,32.9860062761,0,0,0
2.3,32.6703934887,0,0,0
2.35,32.3547807013,0,0,0
2.4,31.9602647171,0,0,0
2.45,31.4829003762,0,0,0
2.5,31.1672875888,0,0,0
2.55,30.7727716046,0,0,0
2.6,30.4571588172,0,0,0
2.65,30.062642833,0,0,0
2.7,29.7470300456,0,0,0
2.75,29.5103204551,0,0,0
2.8,29.2736108645,0,0,0
2.85,29.036901274,0,0,0
2.9,28.7212884866,0,0,0
2.95,28.4845788961,0,0,0
3,28.2478693055,0,0,0
3.05,27.9322565182,0,0,0
3.1,27.6166437308,0,0,0
3.15,27.3799341402,0,0,0
3.2,27.1432245497,0,0,0
3.25,26.985418156,0,0,0
3.3,26.7487085655,0,0,0
3.35,26.4291506183,0,0,0
3.4,26.1924410277,0,0,0
3.45,26.034634634,0,0,0
3.5,25.7979250435,0,0,0
3.55,25.561215453,0,0,0
3.6,25.2456026656,0,0,0
3.65,25.0877962719,0,0,0
3.7,24.9299898782,0,0,0
3.75,24.6143770908,0,0,0
3.8,24.4565706971,0,0,0
3.85,24.2987643034,0,0,0
3.9,23.9831515161,0,0,0
3.95,23.8253451224,0,0,0
4,23.6675387287,0,0,0
4.05,23.3519259413,0,0,0
4.1,23.1941195476,0,0,0
4.15,22.9574099571,0,0,0
4.2,22.7996035634,0,0,0
4.25,22.6417971697,0,0,0
4.3,22.4050875792,0,0,0
4.35,22.2472811855,0,0,0
4.4,22.0105715949,0,0,0
4.45,21.8527652012,0,0,0
4.5,21.6949588076,0,0,0
4.55,21.533207254,0,0,0
4.6,21.2964976635,0,0,0
4.65,21.1386912698,0,0,0
4.7,20.9019816793,0,0,0
4.75,20.6652720887,0,0,0
4.8,20.5863688919,0,0,0
4.85,20.3496593013,0,0,0
4.9,20.1918529077,0,0,0
4.95,20.034046514,0,0,0
5,19.8762401203,0,0,0
5.05,19.6395305297,0,0,0
5.1,19.481724136,0,0,0
5.15,19.3239177424,0,0,0
5.2,19.0872081518,0,0,0
5.25,18.9294017581,0,0,0
5.3,18.7715953644,0,0,0
5.35,18.6137889707,0,0,0
5.4,18.4559825771,0,0,0
5.45,18.2981761834,0,0,0
5.5,18.0614665928,0,0,0
5.55,17.982563396,0,0,0
5.6,17.7458538054,0,0,0
5.65,17.6669506086,0,0,0
5.7,17.4302410181,0,0,0
5.75,17.2724346244,0,0,0
5.8,17.1146282307,0,0,0
5.85,16.8779186402,0,0,0
5.9,16.7201122465,0,0,0
5.95,16.5583606929,0,0,0
6,16.4005542992,0,0,0
6.05,16.2427479055,0,0,0
6.1,16.0849415119,0,0,0
6.15,15.8482319213,0,0,0
6.2,15.6904255276,0,0,0
6.25,15.5326191339,0,0,0
6.3,15.4537159371,0,0,0
6.35,15.2959095434,0,0,0
6.4,15.1381031497,0,0,0
6.45,14.980296756,0,0,0
6.5,14.9013935592,0,0,0
6.55,14.7435871655,0,0,0
6.6,14.6646839686,0,0,0
6.65,14.506877575,0,0,0
6.7,14.3490711813,0,0,0
6.75,14.1912647876,0,0,0
6.8,14.1123615907,0,0,0
6.85,13.954555197,0,0,0
6.9,13.7967488033,0,0,0
6.95,13.7178456065,0,0,0
7,13.5600392128,0,0,0
7.05,13.4022328191,0,0,0
7.1,13.3233296223,0,0,0
7.15,13.1655232286,0,0,0
7.2,13.0866200317,0,0,0
7.25,13.0077168349,0,0,0
7.3,12.8499104412,0,0,0
7.35,12.6921040475,0,0,0
7.4,12.5342976538,0,0,0
7.45,12.455394457,0,0,0
7.5,12.3764912601,0,0,0
7.55,12.2975880633,0,0,0
7.6,12.2186848664,0,0,0
7.65,12.0608784728,0,0,0
7.7,11.9819752759,0,0,0
7.75,11.8241688822,0,0,0
7.8,11.7452656854,0,0,0
7.85,11.6663624885,0,0,0
7.9,11.5874592917,0,0,0
7.95,11.4257077381,0,0,0
8,11.3468045413,0,0,0
8.05,11.2679013445,0,0,0
8.1,11.1889981476,0,0,0
8.15,11.0311917539,0,0,0
8.2,10.9522885571,0,0,0
8.25,10.8733853602,0,0,0
8.3,10.7155789665,0,0,0
8.35,10.6366757697,0,0,0
8.4,10.6366757697,0,0,0
8.45,10.478869376,0,0,0
8.5,10.3210629823,0,0,0
8.55,10.3210629823,0,0,0
8.6,10.2421597855,0,0,0
8.65,10.1632565886,0,0,0
8.7,10.0054501949,0,0,0
8.75,10.0054501949,0,0,0
8.8,9.92654699809,0,0,0
8.85,9.7687406044,0,0,0
8.9,9.68983740755,0,0,0
8.95,9.68983740755,0,0,0
9,9.53203101386,0,0,0
9.05,9.45312781702,0,0,0
9.1,9.37422462017,0,0,0
9.15,9.37422462017,0,0,0
9.2,9.21641822648,0,0,0
9.25,9.21641822648,0,0,0
9.3,9.13751502964,0,0,0
9.35,9.05861183279,0,0,0
9.4,8.97970863595,0,0,0
9.45,8.9008054391,0,0,0
9.5,8.82190224226,0,0,0
9.55,8.82190224226,0,0,0
9.6,8.74299904541,0,0,0
9.65,8.66409584857,0,0,0
9.7,8.66409584857,0,0,0
9.75,8.58519265172,0,0,0
9.8,8.50628945488,0,0,0
9.85,8.50628945488,0,0,0
9.9,8.42738625803,0,0,0
9.95,8.34848306119,0,0,0
10,8.26957986434,0,0,0
10.05,8.19067666749,0,0,0
10.1,8.26957986434,0,0,0
10.15,8.11177347065,0,0,0
10.2,8.0328702738,0,0,0
10.25,8.0328702738,0,0,0
10.3,8.0328702738,0,0,0
10.35,7.95396707696,0,0,0
10.4,7.95396707696,0,0,0
10.45,7.95396707696,0,0,0
10.5,7.87506388011,0,0,0
10.55,7.71725748642,0,0,0
10.6,7.71725748642,0,0,0
10.65,7.71725748642,0,0,0
10.7,7.63835428958,0,0,0
10.75,7.63835428958,0,0,0
10.8,7.63835428958,0,0,0
10.85,7.55945109273,0,0,0
10.9,7.48054789589,0,0,0
10.95,7.48054789589,0,0,0
11,7.40164469904,0,0,0
11.05,7.40164469904,0,0,0
11.1,7.40164469904,0,0,0
11.15,7.40164469904,0,0,0
11.2,7.3227415022,0,0,0
11.25,7.3227415022,0,0,0
11.3,7.3227415022,0,0,0
11.35,7.24383830535,0,0,0
11.4,7.16493510851,0,0,0
11.45,7.16493510851,0,0,0
11.5,7.16493510851,0,0,0
11.55,7.16493510851,0,0,0
11.6,7.08603191166,0,0,0
11.65,7.08603191166,0,0,0
11.7,7.08603191166,0,0,0
11.75,7.00712871482,0,0,0
11.8,7.00712871482,0,0,0
11.85,6.92822551797,0,0,0
11.9,6.92822551797,0,0,0
11.95,6.92822551797,0,0,0
12,6.92822551797,0,0,0
12.05,6.92822551797,0,0,0
12.1,6.92822551797,0,0,0
12.15,6.84932232113,0,0,0
12.2,6.77041912428,0,0,0
12.25,6.77041912428,0,0,0
12.3,6.77041912428,0,0,0
12.35,6.77041912428,0,0,0
12.4,6.69151592744,0,0,0
12.45,6.61261273059,0,0,0
12.5,6.61261273059,0,0,0
12.55,6.61261273059,0,0,0
12.6,6.61261273059,0,0,0
12.65,6.69151592744,0,0,0
12.7,6.53370953375,0,0,0
12.75,6.53370953375,0,0,0
12.8,6.53370953375,0,0,0
12.85,6.53370953375,0,0,0
12.9,6.53370953375,0,0,0
12.95,6.61261273059,0,0,0
13,6.45086117706,0,0,0
13.05,6.53370953375,0,0,0
13.1,6.53370953375,0,0,0
13.15,6.45086117706,0,0,0
13.2,6.45086117706,0,0,0
13.25,6.45086117706,0,0,0
13.3,6.45086117706,0,0,0
13.35,6.37195798021,0,0,0
13.4,6.37195798021,0,0,0
13.45,6.37195798021,0,0,0
13.5,6.37195798021,0,0,0
13.55,6.37195798021,0,0,0
13.6,6.37195798021,0,0,0
13.65,6.37195798021,0,0,0
13.7,6.37195798021,0,0,0
13.75,6.37195798021,0,0,0
13.8,6.37195798021,0,0,0
13.85,6.37195798021,0,0,0
13.9,6.37195798021,0,0,0
13.95,6.37195798021,0,0,0
14,6.37195798021,0,0,0
14.05,6.37195798021,0,0,0
14.1,6.37195798021,0,0,0
14.15,6.37195798021,0,0,0
14.2,6.37195798021,0,0,0
14.25,6.37195798021,0,0,0
14.3,6.29305478337,0,0,0
14.35,6.29305478337,0,0,0
14.4,6.29305478337,0,0,0
14.45,6.29305478337,0,0,0
14.5,6.29305478337,0,0,0
14.55,6.29305478337,0,0,0
14.6,6.29305478337,0,0,0
14.65,6.29305478337,0,0,0
14.7,6.29305478337,0,0,0
14.75,6.29305478337,0,0,0
14.8,6.29305478337,0,0,0
14.85,6.29305478337,0,0,0
14.9,6.29305478337,0,0,0
14.95,6.29305478337,0,0,0
15,6.29305478337,0,0,0
15.05,6.29305478337,0,0,0
15.1,6.29305478337,0,0,0
15.15,6.29305478337,0,0,0
15.2,6.29305478337,0,0,0
15.25,6.29305478337,0,0,0
15.3,6.29305478337,0,0,0
15.35,6.29305478337,0,0,0
15.4,6.21415158652,0,0,0.00808022801849
15.45,6.21415158652,0,0,0.0942693268824
15.5,6.21415158652,0,0,0.568309370634
15.55,6.21415158652,0,0.0145444104333,2.22071600042
15.6,6.21415158652,0,0.126051557088,5.6938673437
15.65,6.29305478337,0,0.513902501976,9.76495556035
15.7,90.8654463219,0.0261799387799,1.32111728102,9.12796425156
15.75,96.3137120641,0.14835298642,1.7913865517,1.39922615187
15.8,98.3691403419,0.244346095279,1.49080206941,-7.3274201081
15.85,99.4737850977,0.309795942229,0.853272078753,-12.3331213656
15.9,100.341720263,0.331612557879,0.0993868046275,-13.7633217248
15.95,100.736236247,0.314159265359,-0.567232006898,-13.4778203348
16,100.815139444,0.279252680319,-1.27990811813,-11.9466171253
16.05,100.815139444,0.183259571459,-1.88592521952,-7.80550026586
16.1,100.894042641,0.0741764932098,-2.13802833369,-1.99850972991
16.15,100.894042641,-0.0436332312999,-2.07015441834,3.64283613167
16.2,100.894042641,-0.14398966329,-1.71866449953,8.03713346906
16.25,100.972945838,-0.222529479629,-1.19021758712,10.5931789322
16.3,100.894042641,-0.266162710929,-0.584200485737,11.3931215061
16.35,100.815139444,-0.279252680319,6.1640507513E-16,10.9877634005
16.4,100.894042641,-0.261799387799,0.509054365165,10.3359583403
16.45,100.894042641,-0.231256125889,1.04234941439,9.14951152627
16.5,100.815139444,-0.157079632679,1.52231495868,5.95243464029
16.55,100.894042641,-0.0654498469498,1.71381636272,1.1797132907
16.6,100.815139444,0.0261799387799,1.62412583172,-3.40312270045
16.65,100.815139444,0.10471975512,1.32596541783,-6.90051472779
16.7,100.894042641,0.165806278939,0.865392420781,-8.75762046738
16.75,100.972945838,0.191986217719,0.378154671265,-8.99868060326
16.8,100.894042641,0.200712863979,-0.0630257785442,-8.48154601008
16.85,100.894042641,0.183259571459,-0.458148928649,-7.88495584138
16.9,100.894042641,0.157079632679,-0.865392420781,-6.75507062346
16.95,100.972945838,0.0959931088597,-1.2217304764,-3.87985615355
17,100.894042641,0.0218166156499,-1.30657287059,0.0794555755152
17.05,100.894042641,-0.0436332312999,-1.1780972451,3.44756395456
17.1,100.894042641,-0.10035643199,-0.916297857297,5.76254928185
17.15,100.894042641,-0.13962634016,-0.55511166487,6.8601135877
17.2,100.815139444,-0.157079632679,-0.172108856794,6.68369527596
17.25,100.894042641,-0.15271630955,0.140595967522,5.87028565543
17.3,100.894042641,-0.13962634016,0.387850944888,5.32352355952
17.35,100.972945838,-0.11780972451,0.678739153553,4.4872199596
17.4,100.894042641,-0.0698131700798,0.90902565208,2.24765009381
17.45,100.894042641,-0.0174532925199,0.940538541352,-0.766274957087
17.5,100.894042641,0.0305432619099,0.814486984264,-3.44083043121
17.55,100.815139444,0.0698131700798,0.550263528059,-5.04744910222
17.6,100.815139444,0.0872664625997,0.24483090896,-5.20232013924
17.65,100.815139444,0.0916297857297,-0.00969627362219,-4.45893916154
17.7,100.815139444,0.0829031394697,-0.198773609255,-3.64014272233
17.75,100.894042641,0.0698131700798,-0.344217713588,-3.20919722801
17.8,100.894042641,0.0523598775598,-0.535719117626,-2.38905408413
17.85,100.815139444,0.01308996939,-0.649650332687,-0.350143214135
17.9,100.894042641,-0.0218166156499,-0.579352348926,1.88538653765
17.95,100.972945838,-0.0479965544298,-0.41936383416,3.30211985022
18,100.972945838,-0.0654498469498,-0.210893951283,3.76942637063
18.05,100.972945838,-0.0698131700798,0.00242406840555,3.22939779806
18.1,100.972945838,-0.0610865238198,0.135747830711,2.19782202103
18.15,100.894042641,-0.0523598775598,0.193925472444,1.60661867101
18.2,100.815139444,-0.0436332312999,0.273919729827,1.34670466975
18.25,100.894042641,-0.0261799387799,0.358762124021,0.525214821202
18.3,100.894042641,-0.00436332312999,0.368458397643,-1.02349554901
18.35,100.894042641,0.0174532925199,0.24483090896,-2.32575896466
18.4,100.894042641,0.0218166156499,0.0775701889775,-2.48924891156
18.45,100.815139444,0.0218166156499,-0.0339369576777,-1.94154412238
18.5,100.894042641,0.0174532925199,-0.116355283466,-1.27007717404
18.55,100.972945838,0.00872664625997,-0.158534073723,-0.675103050945
18.6,100.972945838,0,-0.170896822591,-0.326441211947
18.65,100.894042641,-0.00872664625997,-0.174532925199,-0.154332355153
