"Latest: Time (s)","Latest: Pressure (kPa)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
0,101.367461822,0,0,0
0.05,101.446365019,0,0,0
0.1,101.367461822,0,0,0
0.15,101.367461822,0,0,0
0.2,101.446365019,0,0,0
0.25,101.367461822,0,0,0
0.3,101.367461822,0,0,0
0.35,101.367461822,0,0,0
0.4,101.367461822,0,0,0
0.45,101.367461822,0,0,0
0.5,101.367461822,0,0,0
0.55,101.367461822,0,0,0
0.6,101.446365019,0,0,0
0.65,101.367461822,0,0,0
0.7,101.367461822,0,0,0
0.75,101.367461822,0,0,0
0.8,101.367461822,0,0,0
0.85,101.367461822,0,0,0
0.9,101.367461822,0,0,0
0.95,101.367461822,0,0,0
1,101.446365019,0,0,0
1.05,101.367461822,0,0,0
1.1,101.367461822,0,0,0
1.15,101.367461822,0,0,0
1.2,101.367461822,0,0,0
1.25,101.367461822,0,0,0
1.3,101.367461822,0,0,0
1.35,101.367461822,0,0,0
1.4,101.367461822,0,0,0
1.45,101.367461822,0,0,0
1.5,101.367461822,0,0,0
1.55,101.367461822,0,0,0
1.6,101.367461822,0,0,0
1.65,101.367461822,0,0,0
1.7,101.367461822,0,0,0
1.75,101.367461822,0,0,0
1.8,101.446365019,0,0,0
1.85,101.367461822,0,0,0
1.9,101.367461822,0,0,0
1.95,101.367461822,0,0,0
2,101.051849035,0,0,0
2.05,97.7379147671,0,0,0
2.1,95.2090673082,0,0,0
2.15,92.9208745997,0,0,0
2.2,90.3920271408,0,0,0
2.25,88.0249312355,0,0,0
2.3,85.811696564,0,0,0
2.35,83.6813102491,0,0,0
2.4,81.6258819713,0,0,0
2.45,79.6533020502,0,0,0
2.5,77.6807221291,0,0,0
2.55,76.0198098355,0,0,0
2.6,74.3628427017,0,0,0
2.65,72.7847787648,0,0,0
2.7,71.1238664712,0,0,0
2.75,69.6247057312,0,0,0
2.8,68.204448188,0,0,0
2.85,66.7013422881,0,0,0
2.9,65.3599879417,0,0,0
2.95,63.8608272016,0,0,0
3,62.5983760521,0,0,0
3.05,61.3319797427,0,0,0
3.1,60.1484317901,0,0,0
3.15,59.0437870342,0,0,0
3.2,57.7813358847,0,0,0
3.25,56.7516491659,0,0,0
3.3,55.64700441,0,0,0
3.35,54.6212628511,0,0,0
3.4,53.5955212921,0,0,0
3.45,52.5697797331,0,0,0
3.5,51.6189962111,0,0,0
3.55,50.672157849,0,0,0
3.6,49.7253194868,0,0,0
3.65,48.9362875184,0,0,0
3.7,48.0683523531,0,0,0
3.75,47.1215139909,0,0,0
3.8,46.3285368626,0,0,0
3.85,45.5395048942,0,0,0
3.9,44.7504729257,0,0,0
3.95,44.119247351,0,0,0
4,43.3302153825,0,0,0
4.05,42.6200866109,0,0,0
4.1,41.9888610361,0,0,0
4.15,41.2747871047,0,0,0
4.2,40.6435615299,0,0,0
4.25,40.0123359552,0,0,0
4.3,39.3811103804,0,0,0
4.35,38.8287880025,0,0,0
4.4,38.2764656246,0,0,0
4.45,37.7241432467,0,0,0
4.5,37.1718208687,0,0,0
4.55,36.5366501341,0,0,0
4.6,36.0632309531,0,0,0
4.65,35.5109085751,0,0,0
4.7,35.0374893941,0,0,0
4.75,34.6429734098,0,0,0
4.8,34.0906510319,0,0,0
4.85,33.6961350477,0,0,0
4.9,33.3016190635,0,0,0
4.95,32.8281998824,0,0,0
5,32.4336838982,0,0,0
5.05,31.9602647171,0,0,0
5.1,31.4039971794,0,0,0
5.15,31.0094811951,0,0,0
5.2,30.6149652109,0,0,0
5.25,30.2204492267,0,0,0
5.3,29.9048364393,0,0,0
5.35,29.5892236519,0,0,0
5.4,29.2736108645,0,0,0
5.45,28.8790948803,0,0,0
5.5,28.5634820929,0,0,0
5.55,28.2478693055,0,0,0
5.6,27.9322565182,0,0,0
5.65,27.6166437308,0,0,0
5.7,27.3010309434,0,0,0
5.75,26.985418156,0,0,0
5.8,26.7487085655,0,0,0
5.85,26.4291506183,0,0,0
5.9,26.1135378309,0,0,0
5.95,25.8768282403,0,0,0
6,25.561215453,0,0,0
6.05,25.3245058624,0,0,0
6.1,25.0877962719,0,0,0
6.15,24.8510866814,0,0,0
6.2,24.535473894,0,0,0
6.25,24.2987643034,0,0,0
6.3,23.9831515161,0,0,0
6.35,23.7464419255,0,0,0
6.4,23.509732335,0,0,0
6.45,23.3519259413,0,0,0
6.5,23.0363131539,0,0,0
6.55,22.8785067602,0,0,0
6.6,22.6417971697,0,0,0
6.65,22.4050875792,0,0,0
6.7,22.2472811855,0,0,0
6.75,21.9316683981,0,0,0
6.8,21.6949588076,0,0,0
6.85,21.533207254,0,0,0
6.9,21.2175944666,0,0,0
6.95,21.0597880729,0,0,0
7,20.8230784824,0,0,0
7.05,20.5863688919,0,0,0
7.1,20.4285624982,0,0,0
7.15,20.1918529077,0,0,0
7.2,20.034046514,0,0,0
7.25,19.7973369234,0,0,0
7.3,19.6395305297,0,0,0
7.35,19.4028209392,0,0,0
7.4,19.1661113487,0,0,0
7.45,19.008304955,0,0,0
7.5,18.7715953644,0,0,0
7.55,18.6137889707,0,0,0
7.6,18.3770793802,0,0,0
7.65,18.2192729865,0,0,0
7.7,17.982563396,0,0,0
7.75,17.8247570023,0,0,0
7.8,17.6669506086,0,0,0
7.85,17.4302410181,0,0,0
7.9,17.2724346244,0,0,0
7.95,17.1146282307,0,0,0
8,16.8779186402,0,0,0
8.05,16.7201122465,0,0,0
8.1,16.5583606929,0,0,0
8.15,16.3216511024,0,0,0
8.2,16.1638447087,0,0,0
8.25,16.006038315,0,0,0
8.3,15.7693287245,0,0,0
8.35,15.6904255276,0,0,0
8.4,15.4537159371,0,0,0
8.45,15.2959095434,0,0,0
8.5,15.1381031497,0,0,0
8.55,15.0591999529,0,0,0
8.6,14.8224903623,0,0,0
8.65,14.6646839686,0,0,0
8.7,14.506877575,0,0,0
8.75,14.2701679844,0,0,0
8.8,14.2701679844,0,0,0
8.85,14.0334583939,0,0,0
8.9,13.954555197,0,0,0
8.95,13.7967488033,0,0,0
9,13.7178456065,0,0,0
9.05,13.481136016,0,0,0
9.1,13.4022328191,0,0,0
9.15,13.2444264254,0,0,0
9.2,13.0866200317,0,0,0
9.25,13.0077168349,0,0,0
9.3,12.8499104412,0,0,0
9.35,12.6921040475,0,0,0
9.4,12.6132008507,0,0,0
9.45,12.455394457,0,0,0
9.5,12.2975880633,0,0,0
9.55,12.2186848664,0,0,0
9.6,12.0608784728,0,0,0
9.65,11.9819752759,0,0,0
9.7,11.8241688822,0,0,0
9.75,11.6663624885,0,0,0
9.8,11.5874592917,0,0,0
9.85,11.4257077381,0,0,0
9.9,11.3468045413,0,0,0
9.95,11.2679013445,0,0,0
10,11.1100949508,0,0,0
10.05,11.0311917539,0,0,0
10.1,10.8733853602,0,0,0
10.15,10.8733853602,0,0,0
10.2,10.7155789665,0,0,0
10.25,10.5577725729,0,0,0
10.3,10.478869376,0,0,0
10.35,10.3999661792,0,0,0
10.4,10.2421597855,0,0,0
10.45,10.2421597855,0,0,0
10.5,10.0843533918,0,0,0
10.55,10.0054501949,0,0,0
10.6,9.92654699809,0,0,0
10.65,9.84764380124,0,0,0
10.7,9.7687406044,0,0,0
10.75,9.61093421071,0,0,0
10.8,9.53203101386,0,0,0
10.85,9.45312781702,0,0,0
10.9,9.37422462017,0,0,0
10.95,9.29532142333,0,0,0
11,9.21641822648,0,0,0
11.05,9.13751502964,0,0,0
11.1,9.05861183279,0,0,0
11.15,9.05861183279,0,0,0
11.2,8.97970863595,0,0,0
11.25,8.82190224226,0,0,0
11.3,8.82190224226,0,0,0
11.35,8.66409584857,0,0,0
11.4,8.66409584857,0,0,0
11.45,8.58519265172,0,0,0
11.5,8.50628945488,0,0,0
11.55,8.50628945488,0,0,0
11.6,8.42738625803,0,0,0
11.65,8.26957986434,0,0,0
11.7,8.19067666749,0,0,0
11.75,8.11177347065,0,0,0
11.8,8.0328702738,0,0,0
11.85,8.0328702738,0,0,0
