"Latest: Time (s)","Latest: Pressure (kPa)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
0,79.3376892628,0,0,0
0.05,77.4440125385,0,0,0
0.1,75.7041970481,0,0,0
0.15,73.9683267175,0,0,0
0.2,72.3902627806,0,0,0
0.25,70.6504472902,0,0,0
0.3,69.1512865501,0,0,0
0.35,67.7310290069,0,0,0
0.4,66.227923107,0,0,0
0.45,64.8076655638,0,0,0
0.5,63.3874080206,0,0,0
0.55,62.124956871,0,0,0
0.6,60.8585605617,0,0,0
0.65,59.675012609,0,0,0
0.7,58.4914646563,0,0,0
0.75,57.3868199005,0,0,0
0.8,56.2782299848,0,0,0
0.85,55.2524884258,0,0,0
0.9,54.2267468668,0,0,0
0.95,53.2799085047,0,0,0
1,52.3330701425,0,0,0
1.05,51.3822866206,0,0,0
1.1,50.5143514553,0,0,0
1.15,49.64641629,0,0,0
1.2,48.7784811247,0,0,0
1.25,47.8316427625,0,0,0
1.3,47.0426107941,0,0,0
1.35,46.2496336658,0,0,0
1.4,45.4606016973,0,0,0
1.45,44.7504729257,0,0,0
1.5,43.9614409573,0,0,0
1.55,43.3302153825,0,0,0
1.6,42.6200866109,0,0,0
1.65,42.067764233,0,0,0
1.7,41.3536903015,0,0,0
1.75,40.7224647268,0,0,0
1.8,40.091239152,0,0,0
1.85,39.4600135772,0,0,0
1.9,38.9076911993,0,0,0
1.95,38.2764656246,0,0,0
2,37.8030464435,0,0,0
2.05,37.2507240656,0,0,0
2.1,36.6944565278,0,0,0
2.15,36.2999405436,0,0,0
2.2,35.7476181657,0,0,0
2.25,35.3531021815,0,0,0
2.3,34.9585861972,0,0,0
2.35,34.4062638193,0,0,0
2.4,33.9328446382,0,0,0
2.45,33.538328654,0,0,0
2.5,33.0649094729,0,0,0
2.55,32.6703934887,0,0,0
2.6,32.3547807013,0,0,0
2.65,31.8813615203,0,0,0
2.7,31.4829003762,0,0,0
2.75,31.1672875888,0,0,0
2.8,30.7727716046,0,0,0
2.85,30.3782556204,0,0,0
2.9,30.062642833,0,0,0
