"Latest: Time (s)","Latest: Pressure (kPa)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
0,101.209655428,0,0,0
0.05,101.209655428,0,0,0
0.1,101.209655428,0,0,0
0.15,101.288558625,0,0,0
0.2,101.209655428,0,0,0
0.25,101.209655428,0,0,0
0.3,101.288558625,0,0,0
0.35,101.209655428,0,0,0
0.4,101.209655428,0,0,0
0.45,101.288558625,0,0,0
0.5,101.288558625,0,0,0
0.55,101.288558625,0,0,0
0.6,101.209655428,0,0,0
0.65,101.209655428,0,0,0
0.7,101.209655428,0,0,0
0.75,101.288558625,0,0,0
0.8,101.209655428,0,0,0
0.85,101.209655428,0,0,0
0.9,101.130752231,0,0,0
0.95,101.209655428,0,0,0
1,101.209655428,0,0,0
1.05,101.209655428,0,0,0
1.1,101.209655428,0,0,0
1.15,101.209655428,0,0,0
1.2,101.209655428,0,0,0
1.25,101.209655428,0,0,0
1.3,101.288558625,0,0,0
1.35,101.209655428,0,0,0
1.4,101.288558625,0,0,0
1.45,101.209655428,0,0,0
1.5,101.288558625,0,0,0
1.55,101.209655428,0,0,0
1.6,101.288558625,0,0,0
1.65,101.209655428,0,0,0
1.7,101.209655428,0,0,0
1.75,101.209655428,0,0,0
1.8,101.209655428,0,0,0
1.85,101.209655428,0,0,0
1.9,101.209655428,0,0,0
1.95,101.288558625,0,0,0
2,101.288558625,0,0,0
2.05,101.288558625,0,0,0
2.1,101.288558625,0,0,0
2.15,101.209655428,0,0,0
2.2,101.209655428,0,0,0
2.25,101.209655428,0,0,0
2.3,99.0792691135,0,0,0
2.35,96.9449376388,0,0,0
2.4,94.5778417335,0,0,0
2.45,92.1278974714,0,0,0
2.5,89.6818983692,0,0,0
2.55,87.3937056607,0,0,0
2.6,85.259374186,0,0,0
2.65,83.0500846744,0,0,0
2.7,81.0735595934,0,0,0
2.75,79.1009796723,0,0,0
2.8,77.2862061448,0,0,0
2.85,75.6252938512,0,0,0
2.9,73.9683267175,0,0,0
2.95,72.3902627806,0,0,0
3,70.6504472902,0,0,0
3.05,69.1512865501,0,0,0
3.1,67.7310290069,0,0,0
3.15,66.3068263038,0,0,0
3.2,64.9654719575,0,0,0
3.25,63.4663112174,0,0,0
3.3,62.2827632647,0,0,0
3.35,61.0163669554,0,0,0
3.4,59.8328190027,0,0,0
3.45,58.64927105,0,0,0
3.5,57.4657230973,0,0,0
3.55,56.4360363785,0,0,0
3.6,55.3313916227,0,0,0
3.65,54.3056500637,0,0,0
3.7,53.2799085047,0,0,0
3.75,52.3330701425,0,0,0
3.8,51.3822866206,0,0,0
3.85,50.5143514553,0,0,0
3.9,49.64641629,0,0,0
3.95,48.8573843215,0,0,0
4,47.9894491562,0,0,0
4.05,47.0426107941,0,0,0
4.1,46.3285368626,0,0,0
4.15,45.4606016973,0,0,0
4.2,44.7504729257,0,0,0
4.25,43.9614409573,0,0,0
4.3,43.3302153825,0,0,0
4.35,42.6200866109,0,0,0
4.4,41.9099578393,0,0,0
4.45,41.1958839078,0,0,0
4.5,40.6435615299,0,0,0
4.55,40.0123359552,0,0,0
4.6,39.3811103804,0,0,0
4.65,38.7498848056,0,0,0
4.7,38.1975624277,0,0,0
4.75,37.7241432467,0,0,0
4.8,37.0929176719,0,0,0
4.85,36.5366501341,0,0,0
4.9,36.0632309531,0,0,0
4.95,35.589811772,0,0,0
5,35.1163925909,0,0,0
5.05,34.6429734098,0,0,0
5.1,34.1695542288,0,0,0
5.15,33.7750382446,0,0,0
5.2,33.3805222603,0,0,0
5.25,32.9860062761,0,0,0
5.3,32.512587095,0,0,0
5.35,32.1969743076,0,0,0
5.4,31.6407067699,0,0,0
5.45,31.3250939825,0,0,0
5.5,31.0094811951,0,0,0
5.55,30.6149652109,0,0,0
5.6,30.2993524235,0,0,0
5.65,29.9048364393,0,0,0
5.7,29.5892236519,0,0,0
5.75,29.2736108645,0,0,0
5.8,28.9579980772,0,0,0
5.85,28.6423852898,0,0,0
5.9,28.3267725024,0,0,0
5.95,28.011159715,0,0,0
6,27.6955469276,0,0,0
6.05,27.5377405339,0,0,0
6.1,27.2221277466,0,0,0
6.15,26.985418156,0,0,0
6.2,26.6658602088,0,0,0
6.25,26.3502474214,0,0,0
6.3,26.1135378309,0,0,0
6.35,25.8768282403,0,0,0
6.4,25.6401186498,0,0,0
6.45,25.4034090593,0,0,0
6.5,25.1666994687,0,0,0
6.55,24.9299898782,0,0,0
6.6,24.6932802877,0,0,0
6.65,24.4565706971,0,0,0
6.7,24.3776675003,0,0,0
6.75,24.1409579098,0,0,0
6.8,23.9042483192,0,0,0
6.85,23.6675387287,0,0,0
6.9,23.509732335,0,0,0
6.95,23.3519259413,0,0,0
7,23.1941195476,0,0,0
7.05,23.0363131539,0,0,0
7.1,22.8785067602,0,0,0
7.15,22.6417971697,0,0,0
7.2,22.483990776,0,0,0
7.25,22.2472811855,0,0,0
7.3,22.0894747918,0,0,0
7.35,21.9316683981,0,0,0
7.4,21.6949588076,0,0,0
7.45,21.533207254,0,0,0
7.5,21.2964976635,0,0,0
7.55,21.1386912698,0,0,0
7.6,20.9808848761,0,0,0
7.65,20.7441752856,0,0,0
7.7,20.5863688919,0,0,0
7.75,20.4285624982,0,0,0
7.8,20.2707561045,0,0,0
7.85,20.1129497108,0,0,0
7.9,19.9551433171,0,0,0
7.95,19.7184337266,0,0,0
8,19.5606273329,0,0,0
8.05,19.4028209392,0,0,0
8.1,19.2450145455,0,0,0
8.15,19.0872081518,0,0,0
8.2,18.9294017581,0,0,0
8.25,18.7715953644,0,0,0
8.3,18.6137889707,0,0,0
8.35,18.4559825771,0,0,0
8.4,18.3770793802,0,0,0
8.45,18.1403697897,0,0,0
8.5,18.0614665928,0,0,0
8.55,17.9036601991,0,0,0
8.6,17.7458538054,0,0,0
8.65,17.5880474118,0,0,0
8.7,17.4302410181,0,0,0
8.75,17.2724346244,0,0,0
8.8,17.1146282307,0,0,0
8.85,17.0357250338,0,0,0
8.9,16.7990154433,0,0,0
8.95,16.7201122465,0,0,0
9,16.5583606929,0,0,0
9.05,16.4005542992,0,0,0
9.1,16.2427479055,0,0,0
9.15,16.1638447087,0,0,0
9.2,16.006038315,0,0,0
9.25,15.9271351182,0,0,0
9.3,15.6904255276,0,0,0
9.35,15.6115223308,0,0,0
9.4,15.5326191339,0,0,0
9.45,15.3748127403,0,0,0
9.5,15.2959095434,0,0,0
9.55,15.1381031497,0,0,0
9.6,15.0591999529,0,0,0
9.65,14.9013935592,0,0,0
9.7,14.8224903623,0,0,0
9.75,14.5857807718,0,0,0
9.8,14.5857807718,0,0,0
9.85,14.4279743781,0,0,0
9.9,14.2701679844,0,0,0
9.95,14.1912647876,0,0,0
10,14.0334583939,0,0,0
10.05,13.954555197,0,0,0
10.1,13.7967488033,0,0,0
10.15,13.6389424097,0,0,0
10.2,13.6389424097,0,0,0
10.25,13.481136016,0,0,0
10.3,13.4022328191,0,0,0
10.35,13.2444264254,0,0,0
10.4,13.1655232286,0,0,0
10.45,13.0866200317,0,0,0
10.5,12.928813638,0,0,0
10.55,12.8499104412,0,0,0
10.6,12.7710072444,0,0,0
10.65,12.6921040475,0,0,0
10.7,12.5342976538,0,0,0
10.75,12.3764912601,0,0,0
10.8,12.3764912601,0,0,0
10.85,12.2975880633,0,0,0
10.9,12.1397816696,0,0,0
10.95,12.0608784728,0,0,0
11,12.0608784728,0,0,0
11.05,11.9030720791,0,0,0
11.1,11.8241688822,0,0,0
11.15,11.6663624885,0,0,0
11.2,11.6663624885,0,0,0
11.25,11.5874592917,0,0,0
11.3,11.5874592917,0,0,0
11.35,11.4257077381,0,0,0
11.4,11.3468045413,0,0,0
11.45,11.3468045413,0,0,0
11.5,11.3468045413,0,0,0
11.55,11.3468045413,0,0,0
11.6,11.2679013445,0,0,0
11.65,11.1889981476,0,0,0
11.7,11.1100949508,0,0,0
11.75,11.1100949508,0,0,0
11.8,11.1100949508,0,0,0
11.85,10.9522885571,0,0,0
11.9,10.8733853602,0,0,0
11.95,10.8733853602,0,0,0
12,10.7944821634,0,0,0
12.05,10.7155789665,0,0,0
12.1,10.7155789665,0,0,0
12.15,10.6366757697,0,0,0
12.2,10.5577725729,0,0,0
12.25,10.478869376,0,0,0
12.3,10.3999661792,0,0,0
12.35,10.3999661792,0,0,0
12.4,10.3210629823,0,0,0
12.45,10.3210629823,0,0,0
12.5,10.3210629823,0,0,0
12.55,10.1632565886,0,0,0
12.6,10.1632565886,0,0,0
12.65,10.1632565886,0,0,0
12.7,10.0843533918,0,0,0
12.75,10.0843533918,0,0,0
12.8,10.0054501949,0,0,0
12.85,10.0054501949,0,0,0
12.9,9.92654699809,0,0,0
12.95,10.0054501949,0,0,0
13,9.92654699809,0,0,0
13.05,9.84764380124,0,0,0
13.1,9.92654699809,0,0,0
13.15,9.84764380124,0,0,0
13.2,9.84764380124,0,0,0
13.25,9.7687406044,0,0,0
13.3,9.68983740755,0,0,0
13.35,9.7687406044,0,0,0
13.4,9.68983740755,0,0,0
13.45,9.68983740755,0,0,0
13.5,9.68983740755,0,0,0
13.55,9.68983740755,0,0,0
13.6,9.68983740755,0,0,0
13.65,9.68983740755,0,0,0
13.7,9.68983740755,0,0,0
13.75,9.7687406044,0,0,0
13.8,9.7687406044,0,0,0
13.85,9.7687406044,0,0,0
13.9,9.7687406044,0,0,0
13.95,9.7687406044,0,0,0
14,9.7687406044,0,0,0
14.05,9.7687406044,0,0,0
14.1,9.84764380124,0,0,0
14.15,9.84764380124,0,0,0
14.2,9.84764380124,0,0,0
14.25,9.92654699809,0,0,0
14.3,9.92654699809,0,0,0
14.35,9.84764380124,0,0,0
14.4,9.84764380124,0,0,0
14.45,9.84764380124,0,0,0
14.5,9.92654699809,0,0,0
14.55,9.84764380124,0,0,0
14.6,9.84764380124,0,0,0
14.65,9.92654699809,0,0,0
14.7,9.84764380124,0,0,0
14.75,9.7687406044,0,0,0
14.8,9.68983740755,0,0,0
14.85,9.61093421071,0,0,0
14.9,9.53203101386,0,0,0
14.95,9.53203101386,0,0,0
15,9.45312781702,0,0,0
15.05,9.45312781702,0,0,0
15.1,9.37422462017,0,0,0
15.15,9.37422462017,0,0,0
15.2,9.37422462017,0,0,0
15.25,9.21641822648,0,0,0
15.3,9.21641822648,0,0,0
15.35,9.21641822648,0,0,0
15.4,9.21641822648,0,0,0
15.45,9.13751502964,0,0,0
15.5,9.13751502964,0,0,0
15.55,9.05861183279,0,0,0
15.6,9.05861183279,0,0,0
15.65,9.05861183279,0,0,0
15.7,9.05861183279,0,0,0
15.75,8.97970863595,0,0,0
15.8,8.97970863595,0,0,0
15.85,8.97970863595,0,0,0
15.9,8.97970863595,0,0,0
15.95,8.97970863595,0,0,0
16,8.9008054391,0,0,0
16.05,8.9008054391,0,0,0
16.1,8.9008054391,0,0,0
16.15,8.9008054391,0,0,0
16.2,8.9008054391,0,0,0
16.25,8.9008054391,0,0,0
16.3,8.9008054391,0,0,0
16.35,8.9008054391,0,0,0
16.4,8.9008054391,0,0,0
16.45,8.9008054391,0,0,0
16.5,8.9008054391,0,0,0
16.55,8.9008054391,0,0,0
16.6,8.9008054391,0,0,0
16.65,8.9008054391,0,0,0
16.7,8.9008054391,0,0,0
16.75,8.9008054391,0,0,0
16.8,8.9008054391,0,0,0
16.85,8.9008054391,0,0,0
16.9,8.9008054391,0,0,0
16.95,8.9008054391,0,0,0
17,8.9008054391,0,0,0
17.05,8.9008054391,0,0,0
17.1,8.97970863595,0,0,0
17.15,8.97970863595,0,0,0
17.2,8.97970863595,0,0,0
17.25,8.97970863595,0,0,0
17.3,8.97970863595,0,0,0
17.35,8.97970863595,0,0,0
17.4,8.97970863595,0,0,0
17.45,8.97970863595,0,0,0
17.5,9.05861183279,0,0,0
17.55,8.97970863595,0,0,0
17.6,8.97970863595,0,0,0
17.65,9.05861183279,0,0,0
17.7,8.97970863595,0,0,0
17.75,9.05861183279,0,0,0
17.8,9.05861183279,0,0,0
17.85,9.05861183279,0,0,0
17.9,9.05861183279,0,0,0
17.95,9.05861183279,0,0,0
18,9.05861183279,0,0,0
18.05,9.05861183279,0,0,0
18.1,9.05861183279,0,0,0
18.15,9.05861183279,0,0,0.043094549432
18.2,9.13751502964,0,0,0.366303670172
18.25,9.13751502964,0,0,1.9675355225
18.3,9.21641822648,0,0.0775701889775,6.36991308791
18.35,9.21641822648,0,0.426636039376,14.1148116436
18.4,9.29532142333,0,1.56352412158,19.1716876785
18.45,90.6287367314,0.13962634016,2.93554683912,12.4139236457
18.5,96.2348088672,0.349065850399,3.22643504778,-2.88868151661
18.55,98.290237145,0.510508806208,2.48224604728,-15.6864159932
18.6,99.4737850977,0.610865238198,1.28960439175,-20.6288221312
18.65,100.262817066,0.637045176978,0.128475625494,-18.1077909894
18.7,100.499526657,0.619591884458,-0.819335121075,-9.11584390953
18.75,100.65733305,0.510508806208,-0.875088694403,1.45444104333
18.8,100.736236247,0.501782159948,-0.315128892721,5.26157514471
18.85,100.736236247,0.501782159948,-0.0799942573831,3.46641781993
18.9,100.815139444,0.501782159948,-0.0048481368111,1.42077342658
18.95,100.736236247,0.501782159948,0,0.378424012199
19,100.736236247,0.501782159948,0.00242406840555,0.171031493058
19.05,100.65733305,0.501782159948,0.00969627362219,0.206045814472
19.1,100.65733305,0.501782159948,0.0315128892721,0.148137513672
19.15,100.736236247,0.506145483078,0.0315128892721,0.10773637358
19.2,100.65733305,0.506145483078,0.00969627362219,1.05985657509
19.25,100.736236247,0.506145483078,0.048481368111,4.13438333613
19.3,100.736236247,0.506145483078,0.276343798232,9.62220486535
19.35,100.736236247,0.506145483078,1.03022907236,13.6582787606
19.4,100.736236247,0.589048622548,2.07742662355,8.94481241647
19.45,100.736236247,0.754854901488,2.31256125889,-3.13108835717
19.5,100.736236247,0.868301302867,1.59261294244,-12.1014881624
19.55,100.736236247,0.920661180427,0.659346606309,-12.376215915
19.6,100.736236247,0.911934534167,0.116355283466,-7.21295021117
19.65,100.736236247,0.911934534167,0.00969627362219,-2.74727752629
19.7,100.736236247,0.911934534167,-0.0048481368111,-1.46521468069
19.75,100.736236247,0.911934534167,-0.0315128892721,-2.89945515397
19.8,100.736236247,0.911934534167,-0.189077335633,-6.25948330499
19.85,100.815139444,0.911934534167,-0.690859495581,-8.23375235084
19.9,100.736236247,0.855211333477,-1.34293389667,-3.8152143294
19.95,100.736236247,0.741764932098,-1.308996939,4.83601646907
20,100.815139444,0.689405054538,-0.608441169792,8.90037116237
20.05,100.815139444,0.693768377668,-0.0775701889775,6.32547183381
20.1,100.815139444,0.702495023928,0.0654498469498,2.24765009381
20.15,100.815139444,0.706858347058,0.0218166156499,0.331289348758
20.2,100.815139444,0.702495023928,-0.0145444104333,1.12449839924
20.25,100.736236247,0.702495023928,0.0606017101387,3.641489427
20.3,100.736236247,0.702495023928,0.293312277071,6.58673253974
20.35,100.815139444,0.706858347058,0.913873788891,5.45011379847
20.4,100.736236247,0.811578102177,1.17324910829,-1.66183356247
20.45,100.736236247,0.868301302867,0.635105922253,-6.79412505888
20.5,100.736236247,0.868301302867,0.15271630955,-5.65615961294
20.55,100.736236247,0.863937979737,-1.2351231149E-15,-2.54796523516
20.6,100.736236247,0.863937979737,-0.00969627362219,-0.789168936473
20.65,100.815139444,0.863937979737,-0.00242406840555,-0.900945424062
20.7,100.815139444,0.863937979737,-0.0387850944888,-2.50756409507
20.75,100.736236247,0.863937979737,-0.189077335633,-4.8925780652
20.8,100.815139444,0.863937979737,-0.639954059065,-4.75117407487
20.85,100.815139444,0.794124809657,-0.942962609758,0.409398219604
20.9,100.815139444,0.733038285838,-0.584200485737,5.29120264744
20.95,100.736236247,0.733038285838,-0.133323762305,5.06899637693
21,100.736236247,0.737401608968,0.0290888208666,2.39848101682
21.05,100.65733305,0.741764932098,0.0412091628943,0.531948344551
21.1,100.736236247,0.741764932098,0.0121203420277,0.193925472444
21.15,100.815139444,0.741764932098,0.0145444104333,1.09621760118
21.2,100.736236247,0.741764932098,0.0824183257886,2.65704831341
21.25,100.815139444,0.741764932098,0.295736345477,3.52163271139
21.3,100.815139444,0.763581547748,0.606017101387,1.18644681405
21.35,100.815139444,0.824668071567,0.511478433571,-2.8132660551
21.4,100.815139444,0.829031394697,0.147868172738,-3.68485331737
21.45,100.815139444,0.824668071567,0.0121203420277,-1.96969024997
21.5,100.736236247,0.824668071567,-0.00727220521664,-0.605747760453
21.55,100.736236247,0.824668071567,-0.00290888208666,-0.0824183257886
21.6,100.736236247,0.824668071567,0,0.0206045814472
21.65,100.736236247,0.824668071567,0,0.0177765016407
