"Latest: Time (s)","Latest: Pressure (kPa)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
0,101.288558625,0,0,0
0.05,101.288558625,0,0,0
0.1,101.288558625,0,0,0
0.15,101.288558625,0,0,0
0.2,101.288558625,0,0,0
0.25,101.288558625,0,0,0
0.3,101.288558625,0,0,0
0.35,101.288558625,0,0,0
0.4,101.288558625,0,0,0
0.45,101.288558625,0,0,0
0.5,101.288558625,0,0,0
0.55,101.288558625,0,0,0
0.6,101.288558625,0,0,0
0.65,101.288558625,0,0,0
0.7,101.288558625,0,0,0
0.75,101.209655428,0,0,0
0.8,101.209655428,0,0,0
0.85,101.209655428,0,0,0
0.9,101.288558625,0,0,0
0.95,101.209655428,0,0,0
1,101.288558625,0,0,0
1.05,101.288558625,0,0,0
1.1,101.288558625,0,0,0
1.15,101.288558625,0,0,0
1.2,101.288558625,0,0,0
1.25,101.367461822,0,0,0
1.3,101.288558625,0,0,0
1.35,101.288558625,0,0,0
1.4,101.288558625,0,0,0
1.45,101.288558625,0,0,0
1.5,101.288558625,0,0,0
1.55,101.288558625,0,0,0
1.6,101.288558625,0,0,0
1.65,101.288558625,0,0,0
1.7,101.288558625,0,0,0
1.75,101.288558625,0,0,0
1.8,101.288558625,0,0,0
1.85,101.288558625,0,0,0
1.9,101.209655428,0,0,0
1.95,101.209655428,0,0,0
2,101.288558625,0,0,0
2.05,101.209655428,0,0,0
2.1,101.209655428,0,0,0
2.15,101.288558625,0,0,0
2.2,101.288558625,0,0,0
2.25,101.288558625,0,0,0
2.3,101.367461822,0,0,0
2.35,101.288558625,0,0,0
2.4,101.288558625,0,0,0
2.45,101.288558625,0,0,0
2.5,101.288558625,0,0,0
2.55,101.288558625,0,0,0
2.6,101.288558625,0,0,0
2.65,101.288558625,0,0,0
2.7,101.288558625,0,0,0
2.75,101.288558625,0,0,0
2.8,101.288558625,0,0,0
2.85,101.288558625,0,0,0
2.9,101.288558625,0,0,0
2.95,101.288558625,0,0,0
3,101.288558625,0,0,0
3.05,101.209655428,0,0,0
3.1,101.209655428,0,0,0
3.15,101.209655428,0,0,0
3.2,101.288558625,0,0,0
3.25,101.288558625,0,0,0
3.3,101.288558625,0,0,0
3.35,101.288558625,0,0,0
3.4,101.288558625,0,0,0
3.45,101.288558625,0,0,0
3.5,101.288558625,0,0,0
3.55,101.288558625,0,0,0
3.6,101.288558625,0,0,0
3.65,101.288558625,0,0,0
3.7,101.288558625,0,0,0
3.75,101.288558625,0,0,0
3.8,101.288558625,0,0,0
3.85,101.288558625,0,0,0
3.9,101.288558625,0,0,0
3.95,101.288558625,0,0,0
4,101.288558625,0,0,0
4.05,101.367461822,0,0,0
4.1,101.288558625,0,0,0
4.15,101.288558625,0,0,0
4.2,101.209655428,0,0,0
4.25,101.288558625,0,0,0
4.3,101.288558625,0,0,0
4.35,101.288558625,0,0,0
4.4,101.209655428,0,0,0
4.45,101.209655428,0,0,0
4.5,101.209655428,0,0,0
4.55,101.288558625,0,0,0
4.6,101.288558625,0,0,0
4.65,101.209655428,0,0,0
4.7,101.288558625,0,0,0
4.75,101.288558625,0,0,0
4.8,101.209655428,0,0,0
4.85,101.209655428,0,0,0
4.9,101.288558625,0,0,0
4.95,101.288558625,0,0,0
5,101.209655428,0,0,0
5.05,101.288558625,0,0,0
5.1,101.209655428,0,0,0
5.15,101.288558625,0,0,0
5.2,101.130752231,0,0,0
5.25,100.183913869,0,0,0
5.3,98.4480435387,0,0,0
5.35,96.3137120641,0,0,0
5.4,93.9466161587,0,0,0
5.45,91.4966718967,0,0,0
5.5,89.0506727945,0,0,0
5.55,86.7585349261,0,0,0
5.6,84.5492454144,0,0,0
5.65,82.4188590996,0,0,0
5.7,80.4423340186,0,0,0
5.75,78.5486572944,0,0,0
5.8,76.7299386071,0,0,0
5.85,74.9940682765,0,0,0
5.9,73.3371011427,0,0,0
5.95,71.6761888491,0,0,0
6,70.0192217154,0,0,0
6.05,68.5989641722,0,0,0
6.1,67.178706629,0,0,0
6.15,65.7545039259,0,0,0
6.2,64.4131495795,0,0,0
6.25,62.9928920363,0,0,0
6.3,61.726495727,0,0,0
6.35,60.4640445774,0,0,0
6.4,59.2804966248,0,0,0
6.45,58.0180454752,0,0,0
6.5,56.9094555596,0,0,0
6.55,55.8048108037,0,0,0
6.6,54.7790692447,0,0,0
6.65,53.7533276858,0,0,0
6.7,52.8853925205,0,0,0
6.75,51.9346089985,0,0,0
6.8,50.9088674395,0,0,0
6.85,49.9620290773,0,0,0
6.9,49.1729971089,0,0,0
6.95,48.3050619436,0,0,0
7,47.3582235815,0,0,0
7.05,46.4863432563,0,0,0
7.1,45.7762144847,0,0,0
7.15,44.9871825163,0,0,0
7.2,44.2770537446,0,0,0
7.25,43.566924973,0,0,0
7.3,42.9356993983,0,0,0
7.35,42.2255706267,0,0,0
7.4,41.5114966952,0,0,0
7.45,40.8802711205,0,0,0
7.5,40.2490455457,0,0,0
7.55,39.5389167741,0,0,0
7.6,38.9865943962,0,0,0
7.65,38.3553688214,0,0,0
7.7,37.8819496403,0,0,0
7.75,37.3296272624,0,0,0
7.8,36.7733597247,0,0,0
7.85,36.2210373468,0,0,0
7.9,35.6687149688,0,0,0
7.95,35.1952957878,0,0,0
8,34.7218766067,0,0,0
8.05,34.2484574256,0,0,0
8.1,33.7750382446,0,0,0
8.15,33.3805222603,0,0,0
8.2,32.9071030793,0,0,0
8.25,32.512587095,0,0,0
8.3,32.1969743076,0,0,0
8.35,31.6407067699,0,0,0
8.4,31.1672875888,0,0,0
8.45,30.9305779983,0,0,0
8.5,30.4571588172,0,0,0
8.55,30.062642833,0,0,0
8.6,29.7470300456,0,0,0
8.65,29.4314172582,0,0,0
8.7,29.1158044708,0,0,0
8.75,28.7212884866,0,0,0
8.8,28.4845788961,0,0,0
8.85,28.1689661087,0,0,0
8.9,27.7744501245,0,0,0
8.95,27.4588373371,0,0,0
9,27.2221277466,0,0,0
9.05,26.8276117623,0,0,0
9.1,26.5080538151,0,0,0
9.15,26.1924410277,0,0,0
9.2,25.9557314372,0,0,0
9.25,25.7190218467,0,0,0
9.3,25.4823122561,0,0,0
9.35,25.1666994687,0,0,0
9.4,24.9299898782,0,0,0
9.45,24.6932802877,0,0,0
9.5,24.3776675003,0,0,0
9.55,24.2198611066,0,0,0
9.6,23.8253451224,0,0,0
9.65,23.5886355318,0,0,0
9.7,23.3519259413,0,0,0
9.75,23.1152163508,0,0,0
9.8,22.8785067602,0,0,0
9.85,22.7207003665,0,0,0
9.9,22.483990776,0,0,0
9.95,22.3261843823,0,0,0
10,22.0894747918,0,0,0
10.05,21.8527652012,0,0,0
10.1,21.6121104509,0,0,0
10.15,21.3754008603,0,0,0
10.2,21.1386912698,0,0,0
10.25,20.9019816793,0,0,0
10.3,20.7441752856,0,0,0
10.35,20.4285624982,0,0,0
10.4,20.2707561045,0,0,0
10.45,20.034046514,0,0,0
10.5,19.8762401203,0,0,0
10.55,19.6395305297,0,0,0
10.6,19.481724136,0,0,0
10.65,19.2450145455,0,0,0
10.7,19.0872081518,0,0,0
10.75,18.9294017581,0,0,0
10.8,18.6926921676,0,0,0
10.85,18.5348857739,0,0,0
10.9,18.3770793802,0,0,0
10.95,18.0614665928,0,0,0
11,17.982563396,0,0,0
11.05,17.7458538054,0,0,0
11.1,17.5880474118,0,0,0
11.15,17.4302410181,0,0,0
11.2,17.2724346244,0,0,0
11.25,17.0357250338,0,0,0
11.3,16.8779186402,0,0,0
11.35,16.7201122465,0,0,0
11.4,16.5583606929,0,0,0
11.45,16.4794574961,0,0,0
11.5,16.2427479055,0,0,0
11.55,16.006038315,0,0,0
11.6,15.9271351182,0,0,0
11.65,15.7693287245,0,0,0
11.7,15.5326191339,0,0,0
11.75,15.3748127403,0,0,0
11.8,15.2170063466,0,0,0
11.85,15.1381031497,0,0,0
11.9,14.9013935592,0,0,0
11.95,14.7435871655,0,0,0
12,14.5857807718,0,0,0
12.05,14.4279743781,0,0,0
12.1,14.1912647876,0,0,0
12.15,14.1123615907,0,0,0
12.2,13.954555197,0,0,0
12.25,13.8756520002,0,0,0
12.3,13.7178456065,0,0,0
12.35,13.5600392128,0,0,0
12.4,13.4022328191,0,0,0
12.45,13.3233296223,0,0,0
12.5,13.1655232286,0,0,0
12.55,13.0077168349,0,0,0
12.6,12.928813638,0,0,0
12.65,12.7710072444,0,0,0
12.7,12.6921040475,0,0,0
12.75,12.455394457,0,0,0
12.8,12.3764912601,0,0,0
12.85,12.2975880633,0,0,0
12.9,12.1397816696,0,0,0
12.95,11.9819752759,0,0,0
13,11.9819752759,0,0,0
13.05,11.8241688822,0,0,0
13.1,11.6663624885,0,0,0
13.15,11.5874592917,0,0,0
13.2,11.4257077381,0,0,0
13.25,11.3468045413,0,0,0
13.3,11.2679013445,0,0,0
13.35,11.1889981476,0,0,0
13.4,11.0311917539,0,0,0
13.45,10.9522885571,0,0,0
13.5,10.7944821634,0,0,0
13.55,10.7155789665,0,0,0
13.6,10.6366757697,0,0,0
13.65,10.478869376,0,0,0
13.7,10.3999661792,0,0,0
13.75,10.3210629823,0,0,0
13.8,10.1632565886,0,0,0
13.85,10.0843533918,0,0,0
13.9,10.0054501949,0,0,0
13.95,9.92654699809,0,0,0
14,9.92654699809,0,0,0
14.05,9.84764380124,0,0,0
14.1,9.68983740755,0,0,0
14.15,9.53203101386,0,0,0
14.2,9.53203101386,0,0,0
14.25,9.37422462017,0,0,0
14.3,9.29532142333,0,0,0
14.35,9.13751502964,0,0,0
14.4,9.13751502964,0,0,0
14.45,9.05861183279,0,0,0
14.5,8.97970863595,0,0,0
14.55,8.9008054391,0,0,0
14.6,8.82190224226,0,0,0
14.65,8.66409584857,0,0,0
14.7,8.66409584857,0,0,0
14.75,8.50628945488,0,0,0
14.8,8.42738625803,0,0,0
14.85,8.42738625803,0,0,0
14.9,8.34848306119,0,0,0
14.95,8.26957986434,0,0,0
15,8.19067666749,0,0,0
15.05,8.19067666749,0,0,0
15.1,7.95396707696,0,0,0
15.15,7.95396707696,0,0,0
15.2,7.79616068327,0,0,0
15.25,7.71725748642,0,0,0
15.3,7.71725748642,0,0,0
15.35,7.63835428958,0,0,0
15.4,7.55945109273,0,0,0
15.45,7.55945109273,0,0,0
15.5,7.48054789589,0,0,0
15.55,7.3227415022,0,0,0
15.6,7.24383830535,0,0,0
15.65,7.24383830535,0,0,0
15.7,7.16493510851,0,0,0
15.75,7.08603191166,0,0,0
15.8,7.00712871482,0,0,0
15.85,7.00712871482,0,0,0
15.9,6.92822551797,0,0,0
15.95,6.84932232113,0,0,0
16,6.84932232113,0,0,0
16.05,6.77041912428,0,0,0
16.1,6.69151592744,0,0,0
16.15,6.69151592744,0,0,0
16.2,6.61261273059,0,0,0
16.25,6.53370953375,0,0,0
16.3,6.53370953375,0,0,0
16.35,6.45086117706,0,0,0
16.4,6.37195798021,0,0,0
16.45,6.37195798021,0,0,0
16.5,6.29305478337,0,0,0
16.55,6.21415158652,0,0,0
16.6,6.21415158652,0,0,0
16.65,6.13524838968,0,0,0
16.7,6.05634519283,0,0,0
16.75,6.05634519283,0,0,0
16.8,5.97744199599,0,0,0
16.85,6.05634519283,0,0,0
16.9,5.97744199599,0,0,0
16.95,5.89853879914,0,0,0
17,5.8196356023,0,0,0
17.05,5.74073240545,0,0,0
17.1,5.74073240545,0,0,0
17.15,5.66182920861,0,0,0
17.2,5.66182920861,0,0,0
17.25,5.58292601176,0,0,0
17.3,5.58292601176,0,0,0
17.35,5.58292601176,0,0,0
17.4,5.58292601176,0,0,0
17.45,5.50402281492,0,0,0
17.5,5.42511961807,0,0,0
17.55,5.42511961807,0,0,0
17.6,5.42511961807,0,0,0
17.65,5.34621642123,0,0,0
17.7,5.34621642123,0,0,0
17.75,5.26731322438,0,0,0
17.8,5.26731322438,0,0,0
17.85,5.18841002753,0,0,0
17.9,5.10950683069,0,0,0
17.95,5.10950683069,0,0,0
18,5.03060363384,0,0,0
18.05,5.03060363384,0,0,0
18.1,5.03060363384,0,0,0
18.15,5.03060363384,0,0,0
18.2,5.03060363384,0,0,0
18.25,4.951700437,0,0,0
18.3,4.87279724015,0,0,0
18.35,4.79389404331,0,0,0
18.4,4.79389404331,0,0,0
18.45,4.87279724015,0,0,0
18.5,4.79389404331,0,0,0
18.55,4.79389404331,0,0,0
18.6,4.79389404331,0,0,0
18.65,4.79389404331,0,0,0
18.7,4.71499084646,0,0,0
18.75,74.8362618828,0,0,-0.00404011400925
18.8,95.0512609145,0,0,-0.037707730753
18.85,97.816817964,0,0,-0.257220591922
18.9,99.0792691135,0,-0.00727220521664,-1.11507146655
18.95,100.105010672,0,-0.0460572997054,-3.72229170719
19,100.499526657,0,-0.259375319394,-8.76031387672
19.05,100.65733305,-0.01308996939,-0.814486984264,-14.7060149937
19.1,100.736236247,-0.0436332312999,-1.98773609255,-14.5955852107
19.15,100.736236247,-0.218166156499,-2.91130615506,-2.9425497034
19.2,100.736236247,-0.418879020479,-2.32710566933,9.3353567707
19.25,100.736236247,-0.475602221168,-1.24354709205,8.94077230246
19.3,100.736236247,-0.475602221168,-1.21445827118,4.22057243499
19.35,100.736236247,-0.589048622548,-1.34050982827,7.98326528227
19.4,100.736236247,-0.658861792628,-0.62056151182,15.870914533
19.45,100.815139444,-0.663225115758,0.438756381404,20.6018880378
19.5,100.815139444,-0.619591884458,1.65079058418,20.3675614253
19.55,100.815139444,-0.493055513688,2.71495661421,14.1875336958
19.6,100.815139444,-0.327249234749,3.26037200546,3.48392498064
19.65,100.815139444,-0.14398966329,3.19249809011,-9.36094415942
19.7,100.815139444,0.0392699081699,2.16954122297,-18.3448110113
19.75,100.736236247,0.0872664625997,0.855696147158,-17.4034644472
19.8,100.736236247,0.0872664625997,0.196349540849,-11.6449552793
19.85,100.815139444,0.0872664625997,-0.0824183257886,-9.63163179804
19.9,100.736236247,0.0872664625997,-0.482389612704,-12.8933505082
19.95,100.815139444,0.0654498469498,-1.36959864913,-16.3543815094
20,100.815139444,-0.0436332312999,-2.38285924265,-14.6979347656
20.05,100.815139444,-0.191986217719,-3.03008550693,-8.738766602
20.1,100.894042641,-0.362155819789,-3.29430896314,-1.35074478376
20.15,100.815139444,-0.536688744988,-3.15856113243,5.97263521034
20.2,100.815139444,-0.693768377668,-2.64223456205,11.8186801817
20.25,100.815139444,-0.811578102177,-1.86653267227,14.8501123933
20.3,100.815139444,-0.885754595387,-0.991443977869,14.0016884514
20.35,100.736236247,-0.903207887907,-0.293312277071,9.47137394234
20.4,100.815139444,-0.894481241647,-0.0169684788388,4.22191913966
20.45,100.815139444,-0.894481241647,0.00969627362219,1.19587374674
20.5,100.736236247,-0.894481241647,0.00727220521664,0.270687638619
20.55,100.736236247,-0.894481241647,0.00969627362219,0.21681945183
20.6,100.815139444,-0.894481241647,0.0339369576777,0.218166156499
20.65,100.815139444,-0.890117918517,0.0412091628943,0.032320912074
20.7,100.815139444,-0.890117918517,0.0387850944888,-0.200658995793
20.75,100.894042641,-0.885754595387,0.0242406840555,-0.453839473705
20.8,100.736236247,-0.885754595387,-0.0218166156499,-0.418825152292
20.85,100.815139444,-0.890117918517,-0.0315128892721,-0.133323762305
20.9,100.815139444,-0.890117918517,-0.0193925472444,-0.0929226222127
20.95,100.736236247,-0.890117918517,-0.0363610260832,-0.131977057635
21,100.736236247,-0.894481241647,-0.0412091628943,-0.0350143214135
21.05,100.736236247,-0.894481241647,-0.0412091628943,0.0996561455614
21.1,100.736236247,-0.898844564777,-0.0339369576777,0.289541503996
21.15,100.736236247,-0.898844564777,-0.00727220521664,0.37707730753
21.2,100.736236247,-0.898844564777,0.00727220521664,0.37707730753
21.25,100.736236247,-0.898844564777,0.0339369576777,0.288194799326
21.3,100.815139444,-0.894481241647,0.0412091628943,0.0902292128732
21.35,100.894042641,-0.894481241647,0.0412091628943,-0.0794555755152
21.4,100.815139444,-0.890117918517,0.0339369576777,-0.241060135885
21.45,100.815139444,-0.890117918517,0.00969627362219,-0.249140363904
21.5,100.736236247,-0.890117918517,0.00242406840555,-0.127936943626
21.55,100.815139444,-0.890117918517,0,-0.0471346634412
21.6,100.815139444,-0.890117918517,0,-0.0121203420277
21.65,100.736236247,-0.890117918517,0,-0.021547274716
21.7,100.736236247,-0.890117918517,0,-0.0996561455614
