"Latest: Time (s)","Latest: Pressure (kPa)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
0,101.367461822,0,0,0
0.05,101.288558625,0,0,0
0.1,101.288558625,0,0,0
0.15,101.288558625,0,0,0
0.2,101.288558625,0,0,0
0.25,101.288558625,0,0,0
0.3,101.288558625,0,0,0
0.35,101.288558625,0,0,0
0.4,101.288558625,0,0,0
0.45,101.288558625,0,0,0
0.5,101.288558625,0,0,0
0.55,101.288558625,0,0,0
0.6,101.288558625,0,0,0
0.65,101.288558625,0,0,0
0.7,101.288558625,0,0,0
0.75,101.367461822,0,0,0
0.8,101.288558625,0,0,0
0.85,101.288558625,0,0,0
0.9,101.288558625,0,0,0
0.95,101.288558625,0,0,0
1,101.288558625,0,0,0
1.05,101.288558625,0,0,0
1.1,101.288558625,0,0,0
1.15,101.288558625,0,0,0
1.2,101.288558625,0,0,0
1.25,101.288558625,0,0,0
1.3,101.288558625,0,0,0
1.35,101.288558625,0,0,0
1.4,101.288558625,0,0,0
1.45,101.288558625,0,0,0
1.5,101.367461822,0,0,0
1.55,101.288558625,0,0,0
1.6,101.367461822,0,0,0
1.65,101.288558625,0,0,0
1.7,101.367461822,0,0,0
1.75,101.288558625,0,0,0
1.8,101.288558625,0,0,0
1.85,101.288558625,0,0,0
1.9,101.288558625,0,0,0
1.95,101.288558625,0,0,0
2,101.288558625,0,0,0
2.05,101.288558625,0,0,0
2.1,101.288558625,0,0,0
2.15,101.288558625,0,0,0
2.2,101.367461822,0,0,0
2.25,101.288558625,0,0,0
2.3,101.288558625,0,0,0
2.35,101.288558625,0,0,0
2.4,101.288558625,0,0,0
2.45,101.288558625,0,0,0
2.5,101.288558625,0,0,0
2.55,101.288558625,0,0,0
2.6,101.288558625,0,0,0
2.65,101.288558625,0,0,0
2.7,101.288558625,0,0,0
2.75,101.288558625,0,0,0
2.8,101.367461822,0,0,0
2.85,101.367461822,0,0,0
2.9,101.288558625,0,0,0
2.95,101.367461822,0,0,0
3,101.367461822,0,0,0
3.05,101.288558625,0,0,0
3.1,101.288558625,0,0,0
3.15,101.288558625,0,0,0
3.2,101.288558625,0,0,0
3.25,101.288558625,0,0,0
3.3,101.288558625,0,0,0
3.35,101.288558625,0,0,0
3.4,101.288558625,0,0,0
3.45,101.288558625,0,0,0
3.5,101.367461822,0,0,0
3.55,101.288558625,0,0,0
3.6,101.288558625,0,0,0
3.65,101.288558625,0,0,0
3.7,101.288558625,0,0,0
3.75,101.288558625,0,0,0
3.8,101.288558625,0,0,0
3.85,101.288558625,0,0,0
3.9,101.367461822,0,0,0
3.95,101.288558625,0,0,0
4,101.288558625,0,0,0
4.05,101.288558625,0,0,0
4.1,101.288558625,0,0,0
4.15,101.288558625,0,0,0
4.2,101.288558625,0,0,0
4.25,101.288558625,0,0,0
4.3,101.288558625,0,0,0
4.35,101.288558625,0,0,0
4.4,101.288558625,0,0,0
4.45,101.288558625,0,0,0
4.5,101.367461822,0,0,0
4.55,101.288558625,0,0,0
4.6,101.288558625,0,0,0
4.65,101.288558625,0,0,0
4.7,101.288558625,0,0,0
4.75,101.288558625,0,0,0
4.8,101.288558625,0,0,0
4.85,101.367461822,0,0,0
4.9,101.288558625,0,0,0
4.95,101.288558625,0,0,0
5,101.288558625,0,0,0
5.05,101.288558625,0,0,0
5.1,101.288558625,0,0,0
5.15,101.288558625,0,0,0
5.2,101.288558625,0,0,0
5.25,101.288558625,0,0,0
5.3,101.288558625,0,0,0
5.35,101.288558625,0,0,0
5.4,101.288558625,0,0,0
5.45,101.288558625,0,0,0
5.5,101.288558625,0,0,0
5.55,101.367461822,0,0,0
5.6,101.288558625,0,0,0
5.65,101.367461822,0,0,0
5.7,101.288558625,0,0,0
5.75,101.367461822,0,0,0
5.8,101.288558625,0,0,0
5.85,101.288558625,0,0,0
5.9,101.288558625,0,0,0
5.95,101.288558625,0,0,0
6,101.288558625,0,0,0
6.05,101.288558625,0,0,0
6.1,101.367461822,0,0,0
6.15,101.288558625,0,0,0
6.2,101.288558625,0,0,0
6.25,101.288558625,0,0,0
6.3,101.288558625,0,0,0
6.35,101.288558625,0,0,0
6.4,101.288558625,0,0,0
6.45,101.288558625,0,0,0
6.5,101.288558625,0,0,0
6.55,101.288558625,0,0,0
6.6,101.288558625,0,0,0
6.65,101.288558625,0,0,0
6.7,101.288558625,0,0,0
6.75,101.288558625,0,0,0
6.8,101.367461822,0,0,0
6.85,101.288558625,0,0,0
6.9,101.288558625,0,0,0
6.95,101.288558625,0,0,0
7,101.288558625,0,0,0
7.05,101.288558625,0,0,0
7.1,101.288558625,0,0,0
7.15,101.288558625,0,0,0
7.2,101.288558625,0,0,0
