"Latest: Time (s)","Latest: Pressure (kPa)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
0,101.182039309,0,0,0
0.05,101.182039309,0,0,0
0.1,101.182039309,0,0,0
0.15,101.182039309,0,0,0
0.2,101.182039309,0,0,0
0.25,101.182039309,0,0,0
0.3,101.182039309,0,0,0
0.35,101.182039309,0,0,0
0.4,101.260942506,0,0,0
0.45,101.182039309,0,0,0
0.5,101.182039309,0,0,0
0.55,101.182039309,0,0,0
0.6,101.182039309,0,0,0
0.65,101.182039309,0,0,0
0.7,101.182039309,0,0,0
0.75,101.182039309,0,0,0
0.8,101.182039309,0,0,0
0.85,101.182039309,0,0,0
0.9,101.182039309,0,0,0
0.95,101.103136113,0,0,0
1,101.182039309,0,0,0
1.05,101.182039309,0,0,0
1.1,101.182039309,0,0,0
1.15,101.182039309,0,0,0
1.2,101.182039309,0,0,0
1.25,101.182039309,0,0,0
1.3,101.260942506,0,0,0
1.35,101.260942506,0,0,0
1.4,101.260942506,0,0,0
1.45,101.182039309,0,0,0
1.5,101.182039309,0,0,0
1.55,101.182039309,0,0,0
1.6,101.182039309,0,0,0
1.65,101.182039309,0,0,0
1.7,101.182039309,0,0,0
1.75,101.182039309,0,0,0
1.8,101.103136113,0,0,0
1.85,99.9984913567,0,0,0
1.9,98.7360402072,0,0,0
1.95,97.240824627,0,0,0
2,95.8205670838,0,0,0
2.05,94.3214063437,0,0,0
2.1,93.0589551942,0,0,0
2.15,91.638697651,0,0,0
2.2,90.4551496983,0,0,0
2.25,89.4294081393,0,0,0
2.3,88.0919989528,0,0,0
2.35,86.8295478033,0,0,0
2.4,85.8038062443,0,0,0
2.45,84.7780646853,0,0,0
2.5,83.91012952,0,0,0
2.55,82.7265815673,0,0,0
2.6,81.858646402,0,0,0
2.65,80.9157531997,0,0,0
2.7,79.9689148376,0,0,0
2.75,79.258786066,0,0,0
2.8,78.233044507,0,0,0
2.85,77.3651093417,0,0,0
2.9,76.5760773732,0,0,0
2.95,75.7870454048,0,0,0
3,75.15581983,0,0,0
3.05,74.2878846647,0,0,0
3.1,73.5777558931,0,0,0
3.15,72.8715722814,0,0,0
3.2,72.1614435097,0,0,0
3.25,71.530217935,0,0,0
3.3,70.7411859665,0,0,0
3.35,70.0310571949,0,0,0
3.4,69.478734817,0,0,0
3.45,68.7686060454,0,0,0
3.5,68.2951868643,0,0,0
3.55,67.5850580927,0,0,0
3.6,66.953832518,0,0,0
3.65,66.40151014,0,0,0
3.7,65.8491877621,0,0,0
3.75,65.3757685811,0,0,0
3.8,64.7484881661,0,0,0
3.85,64.1961657882,0,0,0
3.9,63.6438434103,0,0,0
3.95,63.0915210324,0,0,0
4,62.6970050482,0,0,0
4.05,62.0657794734,0,0,0
4.1,61.5923602923,0,0,0
4.15,61.1189411113,0,0,0
4.2,60.5666187333,0,0,0
4.25,60.251005946,0,0,0
4.3,59.698683568,0,0,0
4.35,59.225264387,0,0,0
4.4,58.7518452059,0,0,0
4.45,58.2784260248,0,0,0
4.5,57.8839100406,0,0,0
4.55,57.4104908595,0,0,0
4.6,57.0199200351,0,0,0
4.65,56.6254040509,0,0,0
4.7,56.1519848699,0,0,0
4.75,55.8363720825,0,0,0
4.8,55.2840497046,0,0,0
4.85,54.8895337203,0,0,0
4.9,54.4950177361,0,0,0
4.95,54.021598555,0,0,0
5,53.7059857677,0,0,0
5.05,53.2325665866,0,0,0
5.1,52.9169537992,0,0,0
5.15,52.522437815,0,0,0
5.2,52.0490186339,0,0,0
5.25,51.7334058465,0,0,0
5.3,51.2599866654,0,0,0
5.35,50.9443738781,0,0,0
5.4,50.5498578938,0,0,0
5.45,50.1553419096,0,0,0
5.5,49.8397291222,0,0,0
5.55,49.3663099412,0,0,0
5.6,49.0506971538,0,0,0
5.65,48.7390295262,0,0,0
5.7,48.2656103452,0,0,0
5.75,48.0289007546,0,0,0
5.8,47.5554815736,0,0,0
5.85,47.1609655893,0,0,0
5.9,46.845352802,0,0,0
5.95,46.3719336209,0,0,0
6,46.0563208335,0,0,0
6.05,45.6618048493,0,0,0
6.1,45.2672888651,0,0,0
6.15,44.9516760777,0,0,0
6.2,44.5571600934,0,0,0
6.25,44.1626441092,0,0,0
6.3,43.8470313218,0,0,0
6.35,43.4525153376,0,0,0
6.4,43.1369025502,0,0,0
6.45,42.742386566,0,0,0
6.5,42.3478705818,0,0,0
6.55,42.0322577944,0,0,0
6.6,41.6377418102,0,0,0
6.65,41.3221290228,0,0,0
6.7,40.9315581984,0,0,0
6.75,40.5370422142,0,0,0
6.8,40.2214294268,0,0,0
6.85,39.7480102457,0,0,0
6.9,39.4323974584,0,0,0
6.95,39.0378814741,0,0,0
7,38.7222686867,0,0,0
7.05,38.4066558994,0,0,0
7.1,38.0121399151,0,0,0
7.15,37.7754303246,0,0,0
7.2,37.3809143404,0,0,0
7.25,37.065301553,0,0,0
7.3,36.7496887656,0,0,0
7.35,36.4340759782,0,0,0
7.4,36.1184631909,0,0,0
7.45,35.8028504035,0,0,0
7.5,35.4083344192,0,0,0
7.55,35.1716248287,0,0,0
7.6,34.8560120413,0,0,0
