"Latest: Time (s)","Latest: Pressure (kPa)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
9.4,16.3255962622,0,0,0
9.45,16.2466930654,0,0,0
9.5,16.0099834749,0,0,0
9.55,15.7732738843,0,0,0
9.6,15.6943706875,0,0,0
9.65,15.5365642938,0,0,0
9.7,15.3787579001,0,0,0
9.75,15.2998547032,0,0,0
9.8,15.0631451127,0,0,0
9.85,14.905338719,0,0,0
9.9,14.7475323253,0,0,0
9.95,14.5897259316,0,0,0
10,14.431919538,0,0,0
10.05,14.2741131443,0,0,0
10.1,14.1952099474,0,0,0
10.15,14.1163067506,0,0,0
10.2,13.87959716,0,0,0
10.25,13.7217907663,0,0,0
10.3,13.6428875695,0,0,0
10.35,13.4850811758,0,0,0
10.4,13.3272747821,0,0,0
10.45,13.2483715853,0,0,0
10.5,13.1694683884,0,0,0
10.55,13.0116619947,0,0,0
10.6,12.9327587979,0,0,0
10.65,12.7749524042,0,0,0
10.7,12.6171460105,0,0,0
10.75,12.5382428137,0,0,0
10.8,12.3015332231,0,0,0
10.85,12.3015332231,0,0,0
10.9,12.1437268294,0,0,0
10.95,12.0648236326,0,0,0
11,11.9859204357,0,0,0
11.05,11.8281140421,0,0,0
11.1,11.7492108452,0,0,0
11.15,11.5914044515,0,0,0
11.2,11.5125012547,0,0,0
11.25,11.354694861,0,0,0
11.3,11.2757916641,0,0,0
11.35,11.1179852705,0,0,0
11.4,10.9601788768,0,0,0
11.45,10.9601788768,0,0,0
11.5,10.8023724831,0,0,0
11.55,10.7234692862,0,0,0
11.6,10.6445660894,0,0,0
11.65,10.4867596957,0,0,0
11.7,10.4867596957,0,0,0
11.75,10.4078564988,0,0,0
11.8,10.2500501052,0,0,0
11.85,10.1711469083,0,0,0
11.9,10.1711469083,0,0,0
11.95,10.0922437115,0,0,0
12,10.0133405146,0,0,0
12.05,9.93443731777,0,0,0
12.1,9.85553412093,0,0,0
12.15,9.69772772724,0,0,0
12.2,9.61882453039,0,0,0
12.25,9.53992133355,0,0,0
12.3,9.4610181367,0,0,0
12.35,9.4610181367,0,0,0
12.4,9.30321174301,0,0,0
12.45,9.30321174301,0,0,0
12.5,9.22430854617,0,0,0
12.55,9.14540534932,0,0,0
12.6,9.06650215248,0,0,0
12.65,8.98759895563,0,0,0
12.7,8.98759895563,0,0,0
12.75,8.90869575879,0,0,0
12.8,8.82979256194,0,0,0
12.85,8.7508893651,0,0,0
12.9,8.67198616825,0,0,0
12.95,8.67198616825,0,0,0
13,8.59702813125,0,0,0
13.05,8.43922173756,0,0,0
13.1,8.36031854071,0,0,0
13.15,8.36031854071,0,0,0
13.2,8.28141534387,0,0,0
13.25,8.20251214702,0,0,0
13.3,8.20251214702,0,0,0
13.35,8.20251214702,0,0,0
13.4,8.12360895018,0,0,0
13.45,8.04470575333,0,0,0
13.5,8.04470575333,0,0,0
13.55,7.8079961628,0,0,0
13.6,7.72909296595,0,0,0
13.65,7.72909296595,0,0,0
13.7,7.72909296595,0,0,0
13.75,7.65018976911,0,0,0
13.8,7.57128657226,0,0,0
13.85,7.49238337541,0,0,0
13.9,7.49238337541,0,0,0
13.95,7.49238337541,0,0,0
14,7.41348017857,0,0,0
14.05,7.41348017857,0,0,0
14.1,7.33457698172,0,0,0
14.15,7.25567378488,0,0,0
14.2,7.17677058803,0,0,0
14.25,7.17677058803,0,0,0
14.3,7.17677058803,0,0,0
14.35,7.09786739119,0,0,0
14.4,7.01896419434,0,0,0
14.45,7.01896419434,0,0,0
14.5,7.01896419434,0,0,0
14.55,7.01896419434,0,0,0
14.6,6.9400609975,0,0,0
14.65,6.9400609975,0,0,0
14.7,6.86115780065,0,0,0
14.75,6.78225460381,0,0,0
14.8,6.70335140696,0,0,0
14.85,6.70335140696,0,0,0
14.9,6.62444821012,0,0,0
14.95,6.62444821012,0,0,0
15,6.54554501327,0,0,0
15.05,6.62444821012,0,0,0
15.1,6.54554501327,0,0,0
15.15,6.46664181643,0,0,0
15.2,6.46664181643,0,0,0
15.25,6.38773861958,0,0,0
15.3,6.38773861958,0,0,0
15.35,6.38773861958,0,0,0
15.4,6.30883542274,0,0,0
15.45,6.30883542274,0,0,0
15.5,6.30883542274,0,0,0
15.55,6.22993222589,0,0,0
15.6,6.22993222589,0,0,0
15.65,6.22993222589,0,0,0
15.7,6.15102902905,0,0,0
15.75,6.15102902905,0,0,0
15.8,6.15102902905,0,0,0
15.85,6.0721258322,0,0,0
15.9,6.0721258322,0,0,0
15.95,5.99322263536,0,0,0
16,5.99322263536,0,0,0
16.05,5.99322263536,0,0,0
16.1,5.99322263536,0,0,0
16.15,5.91431943851,0,0,0
16.2,5.91431943851,0,0,0
16.25,5.91431943851,0,0,0
16.3,5.83541624167,0,0,0
16.35,5.83541624167,0,0,0
16.4,5.75651304482,0,0,0
16.45,5.75651304482,0,0,0
16.5,5.67760984797,0,0,0
16.55,5.67760984797,0,0,0
16.6,5.67760984797,0,0,0
16.65,5.67760984797,0,0,0
16.7,5.59870665113,0,0,0
16.75,5.59870665113,0,0,0
16.8,5.59870665113,0,0,0
16.85,5.59870665113,0,0,0
16.9,5.51980345428,0,0,0
16.95,5.44090025744,0,0,0
17,5.44090025744,0,0,0
17.05,5.44090025744,0,0,0
17.1,5.44090025744,0,0,0
17.15,5.44090025744,0,0,0
17.2,5.36199706059,0,0,0
17.25,5.36199706059,0,0,0
17.3,5.36199706059,0,0,0
17.35,5.36199706059,0,0,0
17.4,5.36199706059,0,0,0
17.45,5.36199706059,0,0,0
17.5,5.28309386375,0,0,0
17.55,5.28309386375,0,0,0
17.6,5.12528747006,0,0,0
17.65,5.12528747006,0,0,0
17.7,5.12528747006,0,0,0
17.75,5.12528747006,0,0,0
17.8,5.12528747006,0,0,0
17.85,5.12528747006,0,0,0
17.9,5.12528747006,0,0,0
17.95,5.12528747006,0,0,0
18,5.04638427321,0,0,0
18.05,5.04638427321,0,0,0
18.1,5.04638427321,0,0,0
18.15,5.04638427321,0,0,0
18.2,5.04638427321,0,0,0
18.25,5.04638427321,0,0,0
18.3,4.96748107637,0,0,0
18.35,4.96748107637,0,0,0
18.4,4.96748107637,0,0,0
18.45,4.96748107637,0,0,0
18.5,4.88857787952,0,0,0
18.55,4.88857787952,0,0,0
18.6,4.88857787952,0,0,0
18.65,4.88857787952,0,0,0
18.7,4.88857787952,0,0,0
18.75,4.88857787952,0,0,0
18.8,4.88857787952,0,0,0
18.85,4.88857787952,0,0,0
18.9,4.88857787952,0,0,0
18.95,4.80967468268,0,0,0
19,4.80967468268,0,0,0
19.05,4.80967468268,0,0,0
19.1,4.73077148583,0,0,0
19.15,4.73077148583,0,0,0
19.2,4.73077148583,0,0,0
19.25,4.73077148583,0,0,0
19.3,4.73077148583,0,0,0
19.35,4.65186828899,0,0,0
19.4,4.65186828899,0,0,0
19.45,4.65186828899,0,0,0
19.5,4.65186828899,0,0,0
19.55,4.65186828899,0,0,0
19.6,4.65186828899,0,0,0
19.65,4.65186828899,0,0,0
19.7,4.65186828899,0,0,0
19.75,4.65186828899,0,0,0
19.8,4.65186828899,0,0,0
19.85,4.65186828899,0,0,0
19.9,4.65186828899,0,0,0
19.95,4.57296509214,0,0,0
20,4.57296509214,0,0,0
20.05,4.57296509214,0,0,0
20.1,4.57296509214,0,0,0
20.15,4.57296509214,0,0,0
20.2,4.57296509214,0,0,0
20.25,4.57296509214,0,0,0
20.3,4.57296509214,0,0,0
20.35,4.4940618953,0,0,0
20.4,4.4940618953,0,0,0
20.45,4.4940618953,0,0,0
20.5,4.4940618953,0,0,0
20.55,4.4940618953,0,0,0
20.6,4.4940618953,0,0,0
20.65,4.4940618953,0,0,0
20.7,4.4940618953,0,0,0
20.75,4.41515869845,0,0,0
20.8,4.41515869845,0,0,0
20.85,4.41515869845,0,0,0
20.9,4.41515869845,0,0,0
20.95,4.33625550161,0,0,0
21,4.41515869845,0,0,0
21.05,4.41515869845,0,0,0
21.1,4.41515869845,0,0,0
21.15,4.41515869845,0,0,0
21.2,4.33625550161,0,0,0
21.25,4.33625550161,0,0,0
21.3,4.41515869845,0,0,0
21.35,4.33625550161,0,0,0
21.4,4.33625550161,0,0,0
21.45,4.33625550161,0,0,0
21.5,4.33625550161,0,0,0
21.55,4.33625550161,0,0,0
21.6,4.33625550161,0,0,0
21.65,4.33625550161,0,0,0
21.7,4.33625550161,0,0,0
21.75,4.33625550161,0,0,0
21.8,4.33625550161,0,0,0
21.85,4.33625550161,0,0,0
21.9,4.33625550161,0,0,0
21.95,4.33625550161,0,0,0
22,4.33625550161,0,0,0
22.05,4.25735230476,0,0,0
22.1,4.25735230476,0,0,0
22.15,4.25735230476,0,0,0
22.2,4.25735230476,0,0,0
22.25,4.25735230476,0,0,0
22.3,4.33625550161,0,0,0
22.35,4.25735230476,0,0,0
22.4,4.25735230476,0,0,0
22.45,4.17844910792,0,0,0
22.5,4.17844910792,0,0,0
22.55,4.17844910792,0,0,0
22.6,4.17844910792,0,0,0
22.65,4.17844910792,0,0,0
22.7,4.17844910792,0,0,0
22.75,4.17844910792,0,0,0
22.8,4.17844910792,0,0,0
22.85,4.17844910792,0,0,0
22.9,4.17844910792,0,0,0
22.95,4.17844910792,0,0,0
23,4.17844910792,0,0,0
23.05,4.17844910792,0,0,0.0471346634414
23.1,4.17844910792,0,0,0.3784240122
23.15,4.17844910792,0,0,1.97830915987
23.2,4.17844910792,0,0.0848423941944,6.07229135591
23.25,4.17844910792,0,0.426636039377,12.7734937926
23.3,6.78225460381,0,1.51746682188,15.5450120029
23.35,91.9543104384,0.15271630955,2.53799962061,7.4553570517
23.4,96.2939862648,0.309795942229,2.48467011569,-5.54842323939
23.45,98.2626210261,0.427605666739,1.77926620967,-15.283751297
23.5,99.4461689788,0.497418836818,0.741764932094,-20.2355843676
23.55,100.15629775,0.506145483078,-0.404819423723,-20.9749252313
23.6,100.708620128,0.453785605519,-1.47868172738,-18.5589370538
23.65,100.866426522,0.349065850399,-2.33922601136,-14.0313159541
23.7,101.024232916,0.209439510239,-2.93069870231,-8.09234836051
23.75,100.945329719,0.0436332312999,-3.19977029532,-0.826876667214
23.8,101.103136113,-0.12653637077,-3.06159839621,7.56848024399
23.85,100.945329719,-0.279252680319,-2.47739791047,16.3624617374
23.9,100.945329719,-0.397062404829,-1.37444678595,23.3505122688
23.95,100.945329719,-0.436332312999,0.113931215061,24.597560793
24,100.866426522,-0.375245789179,1.3962634016,19.210742114
24.05,101.024232916,-0.270526034059,2.13560426529,11.1803421683
24.1,101.024232916,-0.14398966329,2.43861281598,4.18286470425
24.15,101.103136113,-0.0174532925199,2.46770163685,-1.05850987043
24.2,100.945329719,0.10908307825,2.30771312208,-5.50263528061
24.25,100.945329719,0.222529479629,1.91986217719,-9.73398135293
24.3,100.866426522,0.309795942229,1.31626914421,-13.3620037332
24.35,100.866426522,0.362155819789,0.528446912411,-15.585413143
24.4,101.024232916,0.366519142919,-0.341793645183,-15.5423185936
24.45,100.945329719,0.322885911619,-1.11264739815,-13.4252988527
24.5,101.103136113,0.248709418409,-1.72593670475,-10.0652707017
24.55,101.024232916,0.14398966329,-2.15984494934,-5.65481290829
24.6,101.024232916,0.0218166156499,-2.32710566933,-0.452492769032
24.65,100.866426522,-0.10035643199,-2.20832631745,4.8106984213
24.7,100.866426522,-0.209439510239,-1.82289944097,9.39609315129
24.75,101.024232916,-0.292342649709,-1.19991386075,12.2379093454
24.8,100.945329719,-0.335975881009,-0.484328867429,12.6128319255
24.85,101.182039309,-0.335975881009,0.149080206942,11.2937347015
24.9,100.866426522,-0.292342649709,0.581776417333,9.86030225099
